Chocolate Pudding,Dessert,7.00,3.00
Epic Brownie,Dessert,4.25,1.00
Apple & Blackberry Parlora,Dessert,6.90,3.00
Meringue Cheesecake,Dessert,7.00,1.00
Stuffed Cabbage Rolls,Starter,5.75,4.00
Pig in Blankets,Starter,7.80,6.00
Feta Flitters,Starter,3.25,4.00
Chicken Cacciatore,Main,10.00,20.00
Veggie Burger,Main,5.75,8.00
Turkey Milanese,Main,9.85,15.00
Gennaro's Famous Porchetta,Main,13.25,15.00
Harissa-spiced Aubergine,Main,13.25,15.00
Porchetta,Main,11.00,15.00
Lamb Chops Scottaditto,Main,10.00,25.00
Venetian Fish Stew,Main,13.25,20.00
Spaghetti Bolognaise,Main,7.00,15.00
